epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,28702.4,1.47587,1.11897,0.94581,0.3936,0.30628,0.29994,0.17109,1.40179,1.06409,0.93005,0.006238,0.006238,0.006238
154,28891.2,1.47114,1.12069,0.94698,0.38786,0.31099,0.30037,0.17165,1.40197,1.06385,0.93006,0.00621325,0.00621325,0.00621325
155,29079.7,1.48061,1.12388,0.94896,0.39763,0.30791,0.30027,0.17168,1.40176,1.06349,0.93008,0.0061885,0.0061885,0.0061885
156,29269.8,1.47723,1.11806,0.9467,0.38924,0.31081,0.29997,0.17164,1.40124,1.06342,0.92999,0.00616375,0.00616375,0.00616375
157,29458.1,1.48189,1.12407,0.94862,0.3966,0.30947,0.30075,0.17226,1.39977,1.06275,0.92941,0.006139,0.006139,0.006139
158,29648.7,1.47654,1.12147,0.94793,0.3949,0.31106,0.30151,0.17283,1.39968,1.0618,0.92951,0.00611425,0.00611425,0.00611425
159,29837.8,1.48199,1.13006,0.94597,0.3987,0.30661,0.30106,0.17223,1.40026,1.06223,0.92962,0.0060895,0.0060895,0.0060895
160,30025.7,1.47167,1.11545,0.94656,0.39551,0.3107,0.30159,0.17286,1.39969,1.06196,0.92939,0.00606475,0.00606475,0.00606475
161,30216.1,1.47271,1.11643,0.94491,0.39465,0.31096,0.30178,0.17263,1.39915,1.06038,0.92958,0.00604,0.00604,0.00604
162,30406.1,1.47039,1.11045,0.94294,0.39396,0.31173,0.30211,0.17283,1.3988,1.06097,0.92929,0.00601525,0.00601525,0.00601525
163,30594.8,1.46831,1.117,0.94532,0.39742,0.30903,0.30234,0.17339,1.39923,1.06112,0.92953,0.0059905,0.0059905,0.0059905
164,30784.9,1.46147,1.10871,0.94362,0.39467,0.3113,0.30226,0.17286,1.39882,1.06028,0.92931,0.00596575,0.00596575,0.00596575
165,30973.5,1.45996,1.10838,0.94477,0.40007,0.30845,0.30318,0.17323,1.39858,1.05969,0.92935,0.005941,0.005941,0.005941
166,31163.4,1.46676,1.11256,0.94417,0.39542,0.31002,0.30212,0.17276,1.39762,1.05959,0.92898,0.00591625,0.00591625,0.00591625
167,31352.9,1.47751,1.11953,0.94503,0.39674,0.30838,0.302,0.17312,1.39846,1.05888,0.92936,0.0058915,0.0058915,0.0058915
168,31541.5,1.46589,1.10834,0.94447,0.39701,0.30971,0.30215,0.17339,1.3979,1.05884,0.92903,0.00586675,0.00586675,0.00586675
169,31730.8,1.46274,1.10526,0.94391,0.39786,0.30938,0.30242,0.17323,1.39738,1.05819,0.92889,0.005842,0.005842,0.005842
170,31921.1,1.46039,1.10575,0.9428,0.39499,0.31134,0.30341,0.17385,1.3967,1.05786,0.92859,0.00581725,0.00581725,0.00581725
171,32110.8,1.4664,1.10979,0.94541,0.3954,0.31322,0.30376,0.17375,1.39691,1.05826,0.9288,0.0057925,0.0057925,0.0057925
172,32300.2,1.46691,1.10484,0.94312,0.39936,0.31122,0.30349,0.17378,1.39655,1.05781,0.92881,0.00576775,0.00576775,0.00576775
173,32488.8,1.45819,1.10201,0.94173,0.40376,0.31029,0.30383,0.17397,1.39588,1.05688,0.92848,0.005743,0.005743,0.005743
174,32680.2,1.46597,1.10376,0.94267,0.39496,0.31302,0.30413,0.17438,1.39653,1.05707,0.92866,0.00571825,0.00571825,0.00571825
175,32870.1,1.46281,1.10537,0.94513,0.39583,0.31295,0.30436,0.17388,1.39631,1.05666,0.92842,0.0056935,0.0056935,0.0056935
176,33058.9,1.45323,1.0989,0.94045,0.40273,0.3105,0.30372,0.17396,1.39621,1.05671,0.92849,0.00566875,0.00566875,0.00566875
177,33248.5,1.46,1.09955,0.94051,0.39763,0.31147,0.30397,0.17388,1.39583,1.05681,0.92835,0.005644,0.005644,0.005644
178,33438.8,1.45336,1.09787,0.94107,0.38879,0.31524,0.30425,0.17445,1.39558,1.05596,0.92843,0.00561925,0.00561925,0.00561925
179,33628.9,1.45661,1.09162,0.93992,0.39223,0.31103,0.30305,0.17396,1.39645,1.05546,0.92844,0.0055945,0.0055945,0.0055945
