                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.2964,                 1.0034,                 1.6864,                 0.7979,                0.67503,                0.70093,                0.47013,                   1.44,                 1.1361,                 1.7706,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.2966,                 1.0162,                 1.6658,                0.96433,                0.62436,                0.67235,                0.45471,                 1.4474,                 1.1591,                   1.77,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.2614,                 1.0159,                 1.6603,                 0.7591,                0.63712,                0.68184,                0.45232,                 1.4381,                 1.1909,                 1.7837,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.2614,                 1.0029,                 1.6306,                0.99458,                0.62013,                0.68328,                0.46206,                 1.4307,                 1.1762,                 1.7473,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.2335,                0.98108,                 1.6606,                0.74188,                0.61734,                0.66943,                0.46283,                 1.3411,                 1.1776,                 1.7096,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.2137,                0.97283,                 1.5984,                0.78546,                0.64445,                0.68196,                0.47139,                 1.3684,                 1.2736,                 1.7364,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.2867,                 1.0219,                 1.6795,                0.75273,                0.65362,                0.66544,                0.44749,                 1.3546,                 1.0874,                 1.7193,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.2372,                      1,                 1.6333,                0.67028,                0.64002,                0.67739,                0.45225,                 1.3848,                  1.202,                 1.7293,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.2702,                0.99737,                 1.6197,                0.72469,                0.66656,                0.69013,                0.49574,                 1.3112,                 1.2027,                 1.7145,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.2517,                0.90391,                  1.598,                 0.6539,                0.65466,                0.69493,                0.48348,                 1.3582,                 1.1188,                 1.7207,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.2331,                0.97757,                 1.6594,                0.66229,                0.69464,                0.70921,                0.46387,                 1.3765,                 1.0619,                 1.7216,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.2396,                0.98614,                 1.6037,                 0.8426,                0.71527,                0.76324,                0.47835,                 1.4003,                 1.0309,                 1.7298,             0.00072872,             0.00072872,             0.00072872
